# row	seat	x		y
0	1	0.500000	0.000000
1	1	0.379341	0.036297
1	2	0.355671	0.082181
1	3	0.342899	0.134453
1	4	0.342000	0.189124
1	5	0.353041	0.242015
1	6	0.390191	0.309624
1	7	0.425638	0.341342
1	8	0.466637	0.359653
1	9	0.530064	0.359653
1	10	0.571063	0.341342
1	11	0.606513	0.309624
1	12	0.643664	0.242015
1	13	0.654705	0.189124
1	14	0.653803	0.134453
1	15	0.641032	0.082181
1	16	0.617366	0.036297
2	1	0.310288	0.000000
2	2	0.288384	0.048652
2	3	0.274352	0.101695
2	4	0.268714	0.157142
2	5	0.271684	0.212917
2	6	0.283149	0.266923
2	7	0.302681	0.317140
2	8	0.346827	0.382860
2	9	0.382944	0.415485
2	10	0.423385	0.438756
2	11	0.466637	0.451790
2	12	0.530064	0.451790
2	13	0.573318	0.438756
2	14	0.613760	0.415485
2	15	0.649877	0.382860
2	16	0.694020	0.317140
2	17	0.713554	0.266923
2	18	0.725021	0.212917
2	19	0.727991	0.157142
2	20	0.722352	0.101695
2	21	0.708317	0.048652
2	22	0.686415	0.000000
3	1	0.217560	0.024056
3	2	0.203972	0.077751
3	3	0.196846	0.133380
3	4	0.196339	0.189718
3	5	0.202460	0.245535
3	6	0.215079	0.299603
3	7	0.233915	0.350732
3	8	0.258553	0.397805
3	9	0.303828	0.457148
3	10	0.340212	0.490070
3	11	0.380068	0.515876
3	12	0.422521	0.533998
3	13	0.466639	0.544034
3	14	0.530064	0.544037
3	15	0.574184	0.533998
3	16	0.616635	0.515876
3	17	0.656493	0.490070
3	18	0.692877	0.457148
3	19	0.738148	0.397805
3	20	0.762790	0.350732
3	21	0.781624	0.299603
3	22	0.794243	0.245532
3	23	0.800364	0.189718
3	24	0.799856	0.133380
3	25	0.792731	0.077751
3	26	0.779144	0.024056
4	1	0.144282	0.011452
4	2	0.132398	0.064249
4	3	0.125479	0.118420
4	4	0.123621	0.173239
4	5	0.126851	0.227959
4	6	0.135119	0.281832
4	7	0.148318	0.334135
4	8	0.166267	0.384148
4	9	0.188725	0.431200
4	10	0.215382	0.474652
4	11	0.266349	0.535727
4	12	0.302153	0.567123
4	13	0.340620	0.593078
4	14	0.381227	0.613232
4	15	0.423425	0.627313
4	16	0.466639	0.635135
4	17	0.530064	0.635135
4	18	0.573280	0.627313
4	19	0.615478	0.613232
4	20	0.656084	0.593078
4	21	0.694550	0.567123
4	22	0.730356	0.535727
4	23	0.781325	0.474652
4	24	0.807561	0.430748
4	25	0.830437	0.384148
4	26	0.848387	0.334132
4	27	0.861586	0.281835
4	28	0.869854	0.227955
4	29	0.873080	0.173239
4	30	0.871224	0.118420
4	31	0.864309	0.064249
4	32	0.852421	0.011455
5	1	0.052104	0.207947
5	2	0.057547	0.262797
5	3	0.067252	0.316713
5	4	0.081119	0.369167
5	5	0.099018	0.419660
5	6	0.120775	0.467697
5	7	0.146181	0.512823
5	8	0.174987	0.554601
5	9	0.223662	0.609809
5	10	0.259669	0.641548
5	11	0.278800	0.655100
5	12	0.297983	0.668697
5	13	0.338234	0.690989
5	14	0.380030	0.708208
5	15	0.422971	0.720181
5	16	0.530064	0.726806
5	17	0.573734	0.720181
5	18	0.616674	0.708208
5	19	0.658470	0.690989
5	20	0.698721	0.668697
5	21	0.737035	0.641548
5	22	0.773043	0.609809
5	23	0.821718	0.554601
5	24	0.850523	0.512823
5	25	0.875930	0.467697
5	26	0.897685	0.419660
5	27	0.915586	0.369167
5	28	0.929453	0.316713
5	29	0.939158	0.262797
5	30	0.944603	0.207947
6	1	0.010240	0.390467
6	2	0.027368	0.442252
6	3	0.047968	0.492001
6	4	0.071889	0.539344
6	5	0.098955	0.583939
6	6	0.128961	0.625448
6	7	0.178749	0.681028
6	8	0.215088	0.713578
6	9	0.253516	0.742091
6	10	0.293747	0.766356
6	11	0.335487	0.786198
6	12	0.378428	0.801468
6	13	0.422254	0.812055
6	14	0.466637	0.817871
6	15	0.530064	0.817871
6	16	0.574451	0.812055
6	17	0.618275	0.801468
6	18	0.661216	0.786198
6	19	0.702956	0.766356
6	20	0.743188	0.742091
6	21	0.781617	0.713578
6	22	0.817954	0.681025
6	23	0.867744	0.625448
6	24	0.897753	0.583939
6	25	0.924816	0.539344
6	26	0.948735	0.491998
6	27	0.969337	0.442252
6	28	0.986467	0.390464
6	29	1.000000	0.337027
7	1	0.000000	0.568385
7	2	0.025646	0.614587
7	3	0.054001	0.658218
7	4	0.084898	0.699033
7	5	0.135581	0.754425
7	6	0.172033	0.787211
7	7	0.210354	0.816437
7	8	0.250324	0.841942
7	9	0.291714	0.863579
7	10	0.334285	0.881213
7	11	0.377797	0.894761
7	12	0.421999	0.904130
7	13	0.466639	0.909269
7	14	0.530066	0.909269
7	15	0.574706	0.904130
7	16	0.618909	0.894758
7	17	0.662418	0.881213
7	18	0.704994	0.863576
7	19	0.746383	0.841942
7	20	0.786354	0.816437
7	21	0.824672	0.787211
7	22	0.861124	0.754422
7	23	0.911807	0.699033
7	24	0.942706	0.658218
7	25	0.971059	0.614587
7	26	0.996705	0.568382
8	1	0.124415	0.856184
8	2	0.163028	0.886832
8	3	0.203226	0.914072
8	4	0.244818	0.937782
8	5	0.287608	0.957845
8	6	0.331394	0.974167
8	7	0.375967	0.986668
8	8	0.421121	0.995291
8	9	0.466637	1.000000
8	10	0.530064	1.000000
8	11	0.575582	0.995291
8	12	0.620736	0.986668
8	13	0.665310	0.974167
8	14	0.709093	0.957845
8	15	0.751886	0.937782
8	16	0.793477	0.914072
8	17	0.833676	0.886832
8	18	0.872290	0.856184
