# short	long	logo	vis_color
kd	Kristillisdemokraatit	images/parties/kd.jpg	#cccccc
kesk	Keskusta	images/parties/kesk.jpg	#9fd18b
kok	Kokoomus	images/parties/kok.jpg	#c7ddf3
ps	Perussuomalaiset	images/parties/ps.jpg	#69b3e3
r	RKP	images/parties/r.jpg	#ffd87d
sd	Sosialidemokraatit	images/parties/sd.jpg	#f9c0c7
vas	Vasemmistoliitto	images/parties/vas.jpg	#ec008c
vihr	Vihreä liitto	images/parties/vihr.jpg	#dde89a
